across_km,n_events,strain_median,strain_q25,strain_q75,speed_median
0.125,125,0.002247630551524995,0.0021138282952799918,0.0023457307548510977,19.335668350884365
0.375,8,0.0021698152978119707,0.0020478911052251385,0.0022717851088668957,18.28413622069886
0.625,0,0.0020952572921262244,0.0019638581698066576,0.0021931000171780007,17.28214317197873
0.875,2,0.0020086462766331337,0.0018848478549178028,0.002109053820317752,16.34865123779638
1.125,2,0.0019248501490231624,0.0017958684426967193,0.00202193633307232,15.396897297518455
1.375,1,0.001840051012095577,0.0016983087941990298,0.0019314083839227587,14.560544652177704
1.625,0,0.0017447842238665573,0.0016088950957419367,0.0018362714448034716,13.71347257530974
1.875,2,0.0016591877149033873,0.0015279631562237208,0.0017445931560841998,12.944161534909743
2.125,0,0.0015666960320591965,0.001428022179963788,0.0016496125185992301,12.212236856741143
2.375,0,0.0014743673435520365,0.001331737194044981,0.001553017195605148,11.532818461380291
2.625,0,0.0013853332883750637,0.001238040992443186,0.001456721750976877,10.900485671706157
2.875,0,0.0012969151360002619,0.0011472118679447681,0.0013673851325806206,10.328713048330137
3.125,0,0.001208909497491007,0.0010622938182850666,0.0012763189338208711,9.782015228191554
3.375,0,0.0011268806177051754,0.0010052013993196848,0.0011859643069400563,9.289486562698487
3.625,0,0.0010443922923256562,0.0009256762182264472,0.0011018230373421043,8.823996175792114
3.875,0,0.0009694161093743638,0.0008533233261920356,0.0010219060387836522,8.39888368115906
4.125,0,0.0008932026709284927,0.0007869015311804961,0.000941817038628686,8.00343481172721
4.375,0,0.0008231201430598507,0.0007239758636457039,0.0008679928627460126,7.6399768221720965
4.625,1,0.0007578198630111262,0.0006691508948851509,0.000799837276442267,7.290487336362077
4.875,0,0.0006955993375344213,0.0006258828116004513,0.0007342822431445544,6.982360282976376
5.125,0,0.0006415153726684662,0.0005754098030723759,0.000674451524699892,6.688328170708153
5.375,0,0.0005889131292654724,0.0005348151668268524,0.0006214060039446732,6.423227776745668
5.625,0,0.0005424271783384213,0.0004984310364834161,0.000569909678010362,6.183707394814026
5.875,0,0.0005005976893690844,0.0004633071399781584,0.0005253290960654853,5.982586632685672
6.125,0,0.00046250407777658354,0.00043574771348319993,0.00048297223046026786,5.769599083038804
6.375,0,0.0004281152408768615,0.00041035543992278277,0.00044738656159241984,5.602559895689433
6.625,0,0.00039926424105709424,0.00038756283570101077,0.0004132345179045986,5.447873779503409
6.875,0,0.00037542244493419467,0.0003664113908913255,0.0003851798071420067,5.307064285217395
7.125,0,0.0003537875262460536,0.0003454883564415489,0.00036130858332809467,5.178979276030317
7.375,0,0.0003333677262807084,0.00032701018266629455,0.00034068415645415915,5.071625433926103
7.625,0,0.0003155701333155172,0.0003068284134432101,0.0003227303827885323,4.973188031562413
7.875,0,0.00029887251693595427,0.00028487362819777147,0.00030708377736563973,4.884320635340466
