array,station,constituent,period_h,tide_amp_cm,gps_amp,admittance_gain,admittance_phase_deg,r2_total,n
T02,T02A,P1,24.06589,10.734474856690726,0.008420500758526153,0.07844352770809007,102.65796435859049,0.12052613887731234,26576
T02,T02A,Q1,26.868357,5.671666223064551,0.003703711676059879,0.06530200350997852,112.59694386405684,0.12052613887731234,26576
T02,T02A,MF,327.859,2.772530486702988,0.003756065159019539,0.13547425995975765,-128.70137859647107,0.12052613887731234,26576
T02,T02A,MM,661.31,1.546911827250775,0.0015589194893211521,0.1007762344213062,-131.48852857542877,0.12052613887731234,26576
T02,T02B,M2,12.420601,4.329884000864351,0.02283605484178727,0.5274056957929735,106.05438672778546,0.08922204165536518,26880
T02,T02B,S2,12.0,17.908824805719345,0.012080089048629608,0.06745327613441013,-134.65370108665388,0.08922204165536518,26880
T02,T02B,N2,12.658348,7.901485824006015,0.003398236178868104,0.043007559015593035,134.24846639171562,0.08922204165536518,26880
T02,T02B,K2,11.967235,5.106750275855721,0.016425867382006507,0.32165010025390517,-103.32695018295027,0.08922204165536518,26880
T02,T02B,K1,23.93447,33.71376449840475,0.02740343851808207,0.08128264204781621,177.3887104632744,0.08922204165536518,26880
T02,T02B,O1,25.819342,28.271229380606105,0.02028273500522904,0.07174337816077737,130.17863194999214,0.08922204165536518,26880
T02,T02B,P1,24.06589,10.734319239021968,0.014166657961041138,0.13197537399057174,-38.83664784779989,0.08922204165536518,26880
T02,T02B,Q1,26.868357,5.6736787660316,0.008809455925491266,0.15526885269278223,-9.285430345627825,0.08922204165536518,26880
T02,T02B,MF,327.859,2.7753213239398686,0.01816026752484418,0.6543482863837806,-144.41499472016264,0.08922204165536518,26880
T02,T02B,MM,661.31,1.54899856426876,0.001839859005596555,0.1187773215571121,-8.83719641748426,0.08922204165536518,26880
T02,T02C,M2,12.420601,4.327214180958234,0.011785908438706737,0.2723671153272294,95.05433705341844,0.036204848666463896,26427
T02,T02C,S2,12.0,17.90828022681049,0.011703583384535352,0.06535291628402104,-153.6990931487333,0.036204848666463896,26427
T02,T02C,N2,12.658348,7.899675060676121,0.007369836914641755,0.09329291215189528,-26.74885455053399,0.036204848666463896,26427
